lab,compound,sample_type,RT,sample,peak_area,note,c_real_M
L1,Amitrole,cal,0.72,cal1,285600245.7,non-linear,6.25E-06
L1,Amitrole,cal,0.72,cal2,103057658.3,non-linear,2.58E-06
L1,Amitrole,cal,0.72,cal3,65933010.67,non-linear,1.34E-06
L1,Amitrole,cal,0.72,cal4,38058669.33,non-linear,7.78E-07
L1,Amitrole,cal,0.72,cal5,13405378.67,linear,2.35E-07
L1,Amitrole,cal,0.72,cal6,1315423.667,linear,2.02E-08
L1,Aspartame,cal,2.68,cal1,163756856.3,linear,1.72E-06
L1,Aspartame,cal,2.68,cal2,41549141,non-linear,7.04E-07
L1,Aspartame,cal,2.68,cal3,30317224,linear,3.58E-07
L1,Aspartame,cal,2.68,cal4,12974311.67,linear,2.13E-07
L1,Aspartame,cal,2.68,cal5,6676281.333,linear,7.22E-08
L1,Aspartame,cal,2.68,cal6,313840.3333,non-linear,7.59E-09
L1,Atrazine,cal,4.92,cal1,1488899804,linear,1.93E-06
L1,Atrazine,cal,4.92,cal2,477396103.7,non-linear,8.29E-07
L1,Atrazine,cal,4.92,cal3,314155779.3,linear,4.24E-07
L1,Atrazine,cal,4.92,cal4,164688273,linear,2.48E-07
L1,Atrazine,cal,4.92,cal5,69336357.67,linear,8.51E-08
L1,Atrazine,cal,4.92,cal6,5495160.333,linear,8.73E-09
L1,Avermectin_B1a_H,cal,8.05,cal1,804421.3333,non-linear,1.35E-07
L1,Avermectin_B1a_H,cal,8.05,cal2,259284.6667,non-linear,7.02E-08
L1,Avermectin_B1a_H,cal,8.05,cal3,121807.6667,non-linear,4.78E-08
L1,Avermectin_B1a_H,cal,8.05,cal4,29965.33333,non-linear,2.77E-08
L1,Avermectin_B1a_NH4,cal,8.05,cal1,43714501,non-linear,1.35E-07
L1,Avermectin_B1a_NH4,cal,8.05,cal2,15682877.67,non-linear,7.02E-08
L1,Avermectin_B1a_NH4,cal,8.05,cal3,7710445.333,non-linear,4.78E-08
L1,Avermectin_B1a_NH4,cal,8.05,cal4,2458357,non-linear,2.77E-08
L1,Avermectin_B1a_NH4,cal,8.05,cal5,787503,non-linear,1.17E-08
L1,Avermectin_B1a_NH4,cal,8.05,cal6,97560.33333,non-linear,3.82E-09
L1,Butocarboxim_H,cal,3.73,cal1,6339793.333,non-linear,1.98E-06
L1,Butocarboxim_H,cal,3.73,cal2,1613499,non-linear,1.00E-06
L1,Butocarboxim_H,cal,3.73,cal3,1101849.667,linear,5.01E-07
L1,Butocarboxim_H,cal,3.73,cal4,548455.6667,linear,2.92E-07
L1,Butocarboxim_H,cal,3.73,cal5,179022.6667,linear,8.97E-08
L1,Butocarboxim_NH4,cal,3.73,cal1,2909203.333,non-linear,1.98E-06
L1,Butocarboxim_NH4,cal,3.73,cal2,726719.6667,linear,1.00E-06
L1,Butocarboxim_NH4,cal,3.73,cal3,464818,linear,5.01E-07
L1,Butocarboxim_NH4,cal,3.73,cal4,241413.3333,linear,2.92E-07
L1,Butocarboxim_NH4,cal,3.73,cal5,68060,linear,8.97E-08
L1,Caffeine,cal,2.28,cal1,177261888.7,linear,3.06E-06
L1,Caffeine,cal,2.28,cal2,47715740.33,non-linear,1.24E-06
L1,Caffeine,cal,2.28,cal3,32097835.33,linear,5.79E-07
L1,Caffeine,cal,2.28,cal4,15830906,linear,3.34E-07
L1,Caffeine,cal,2.28,cal5,6249017.667,linear,1.02E-07
L1,Caffeine,cal,2.28,cal6,697259.6667,linear,1.09E-08
L1,Carbamazepine,cal,4.42,cal1,2723582613,non-linear,1.67E-06
L1,Carbamazepine,cal,4.42,cal2,1001786711,non-linear,7.96E-07
L1,Carbamazepine,cal,4.42,cal3,728791206.7,linear,4.20E-07
L1,Carbamazepine,cal,4.42,cal4,411130807,linear,2.59E-07
L1,Carbamazepine,cal,4.42,cal5,170416680.7,linear,9.22E-08
L1,Carbamazepine,cal,4.42,cal6,16119272.67,linear,7.64E-09
L1,Cefoperazone,cal,3.11,cal1,7059989.667,non-linear,5.41E-07
L1,Cefoperazone,cal,3.11,cal2,1730435.333,linear,2.25E-07
L1,Cefoperazone,cal,3.11,cal3,1068174.333,linear,1.16E-07
L1,Cefoperazone,cal,3.11,cal4,477225.6667,linear,6.66E-08
L1,Cefoperazone,cal,3.11,cal5,226934.6667,linear,2.45E-08
L1,Chlorothiazide,cal,1.99,cal1,2077543,non-linear,1.53E-06
L1,Chlorothiazide,cal,1.99,cal2,516667,linear,6.60E-07
L1,Chlorothiazide,cal,1.99,cal3,324647.6667,linear,3.46E-07
L1,Chlorothiazide,cal,1.99,cal4,175938.6667,linear,1.99E-07
L1,Chlorothiazide,cal,1.99,cal5,55715,linear,6.90E-08
L1,Clarithromycin_H,cal,5.16,cal1,528911081.7,non-linear,5.08E-07
L1,Clarithromycin_H,cal,5.16,cal2,118556856,linear,2.50E-07
L1,Clarithromycin_H,cal,5.16,cal3,72225154.67,linear,1.34E-07
L1,Clarithromycin_H,cal,5.16,cal4,33704564.33,linear,7.98E-08
L1,Clarithromycin_H,cal,5.16,cal5,15494871.67,linear,2.48E-08
L1,Clarithromycin_H,cal,5.16,cal6,1012029,linear,2.79E-09
L1,Clarithromycin_Na,cal,5.16,cal1,1555339.333,non-linear,5.08E-07
L1,Clarithromycin_Na,cal,5.16,cal2,275918.6667,linear,2.50E-07
L1,Clarithromycin_Na,cal,5.16,cal3,158417,linear,1.34E-07
L1,Clarithromycin_Na,cal,5.16,cal4,60115,linear,7.98E-08
L1,Clarithromycin_Na,cal,5.16,cal5,26054.5,linear,2.48E-08
L1,Dichlorvos,cal,4.32,cal1,13337263.33,non-linear,2.18E-06
L1,Dichlorvos,cal,4.32,cal2,4357745.333,linear,8.80E-07
L1,Dichlorvos,cal,4.32,cal3,2289686.333,linear,4.38E-07
L1,Dichlorvos,cal,4.32,cal4,1544098.667,linear,2.72E-07
L1,Dichlorvos,cal,4.32,cal5,336697.3333,linear,8.53E-08
L1,Dichlorvos,cal,4.32,cal6,27351,linear,7.13E-09
L1,Dimethyl_phthalate,cal,4.4,cal1,11522297,non-linear,2.31E-06
L1,Dimethyl_phthalate,cal,4.4,cal2,3301506,linear,9.63E-07
L1,Dimethyl_phthalate,cal,4.4,cal3,2235622.667,linear,5.04E-07
L1,Dimethyl_phthalate,cal,4.4,cal4,1229926.667,linear,3.09E-07
L1,Dimethyl_phthalate,cal,4.4,cal5,391926,linear,8.73E-08
L1,Dimethyl_phthalate,cal,4.4,cal6,37662.33333,linear,1.00E-08
L1,Diphenyl_phthalate,cal,7.02,cal1,16873041,linear,1.34E-06
L1,Diphenyl_phthalate,cal,7.02,cal2,5779510,non-linear,6.44E-07
L1,Diphenyl_phthalate,cal,7.02,cal3,4359689,linear,3.82E-07
L1,Diphenyl_phthalate,cal,7.02,cal4,2012745.333,linear,2.07E-07
L1,Diphenyl_phthalate,cal,7.02,cal5,755957.3333,linear,7.88E-08
L1,Diphenyl_phthalate,cal,7.02,cal6,59865,non-linear,1.07E-08
L1,Efavirenz,cal,6.41,cal1,1195502.333,linear,1.33E-06
L1,Efavirenz,cal,6.41,cal2,377168.3333,non-linear,5.86E-07
L1,Efavirenz,cal,6.41,cal3,265935.3333,linear,3.13E-07
L1,Efavirenz,cal,6.41,cal4,117686.3333,linear,1.67E-07
L1,Efavirenz,cal,6.41,cal5,38630.66667,linear,7.13E-08
L1,Emamectin_B1a,cal,8.45,cal1,818655460.3,non-linear,2.04E-07
L1,Emamectin_B1a,cal,8.45,cal2,234122668.7,non-linear,9.73E-08
L1,Emamectin_B1a,cal,8.45,cal3,119270055,non-linear,4.87E-08
L1,Emamectin_B1a,cal,8.45,cal4,40158699,non-linear,2.35E-08
L1,Emamectin_B1a,cal,8.45,cal5,9581593.333,non-linear,7.05E-09
L1,Emamectin_B1a,cal,8.45,cal6,1249360,non-linear,1.49E-09
L1,Guanylurea,cal,0.72,cal1,164437375,non-linear,1.25E-06
L1,Guanylurea,cal,0.72,cal2,65400126,non-linear,5.45E-07
L1,Guanylurea,cal,0.72,cal3,43625152.33,non-linear,3.20E-07
L1,Guanylurea,cal,0.72,cal4,23199306.67,non-linear,1.82E-07
L1,Guanylurea,cal,0.72,cal5,9566921,linear,4.72E-08
L1,Guanylurea,cal,0.72,cal6,680886.3333,linear,2.35E-09
L1,Haloperidol,cal,4.62,cal1,1200996457,linear,5.96E-07
L1,Haloperidol,cal,4.62,cal2,362457987.3,non-linear,2.90E-07
L1,Haloperidol,cal,4.62,cal3,248220641.3,linear,1.49E-07
L1,Haloperidol,cal,4.62,cal4,127092710.7,linear,8.94E-08
L1,Haloperidol,cal,4.62,cal5,52321507,linear,2.62E-08
L1,Haloperidol,cal,4.62,cal6,4200088.333,linear,2.20E-09
L1,Histamine,cal,0.67,cal1,373388255,linear,5.59E-06
L1,Histamine,cal,0.67,cal2,58766124.33,linear,1.40E-06
L1,Histamine,cal,0.67,cal3,32555577.67,linear,4.09E-07
L1,Histamine,cal,0.67,cal4,12695030.67,linear,2.93E-07
L1,Histamine,cal,0.67,cal5,1481954,linear,5.92E-08
L1,Imazalil,cal,4.92,cal1,1832123451,non-linear,8.73E-07
L1,Imazalil,cal,4.92,cal2,529417473,non-linear,4.20E-07
L1,Imazalil,cal,4.92,cal3,365619910.7,linear,2.19E-07
L1,Imazalil,cal,4.92,cal4,190829175.7,linear,1.26E-07
L1,Imazalil,cal,4.92,cal5,71985264,linear,3.93E-08
L1,Imazalil,cal,4.92,cal6,5617306.333,linear,3.32E-09
L1,Ivermectin_B1a_NH4,cal,8.85,cal1,17514873.67,non-linear,9.60E-08
L1,Ivermectin_B1a_NH4,cal,8.85,cal2,8644224.667,non-linear,5.01E-08
L1,Ivermectin_B1a_NH4,cal,8.85,cal3,4242410,non-linear,3.92E-08
L1,Ivermectin_B1a_NH4,cal,8.85,cal4,1666453.667,non-linear,2.25E-08
L1,Ivermectin_B1a_NH4,cal,8.85,cal5,600439,non-linear,9.34E-09
L1,L-alanine,cal,0.69,cal1,12769163.67,linear,6.07E-06
L1,L-alanine,cal,0.69,cal2,3668582.667,linear,2.26E-06
L1,L-alanine,cal,0.69,cal3,2661652.333,linear,1.07E-06
L1,L-alanine,cal,0.69,cal4,1145580.333,linear,6.25E-07
L1,L-alanine,cal,0.69,cal5,635604,linear,1.93E-07
L1,L-phenylalanine,cal,1.48,cal1,183122994.3,linear,3.10E-06
L1,L-phenylalanine,cal,1.48,cal2,47562534.33,linear,1.23E-06
L1,L-phenylalanine,cal,1.48,cal3,29555799.67,linear,6.09E-07
L1,L-phenylalanine,cal,1.48,cal4,15094271.33,non-linear,3.58E-07
L1,L-phenylalanine,cal,1.48,cal5,7300322.333,non-linear,1.21E-07
L1,Methamidophos,cal,1.27,cal1,894950369.3,non-linear,2.23E-06
L1,Methamidophos,cal,1.27,cal2,301713246,non-linear,9.91E-07
L1,Methamidophos,cal,1.27,cal3,208130183.7,non-linear,4.84E-07
L1,Methamidophos,cal,1.27,cal4,112844377.7,non-linear,2.92E-07
L1,Methamidophos,cal,1.27,cal5,43159807.67,linear,8.52E-08
L1,Methamidophos,cal,1.27,cal6,4361143.667,linear,6.39E-09
L1,Metolachlor,cal,6.32,cal1,1364050976,linear,1.45E-06
L1,Metolachlor,cal,6.32,cal2,444650668.3,non-linear,6.75E-07
L1,Metolachlor,cal,6.32,cal3,323952317.7,linear,3.62E-07
L1,Metolachlor,cal,6.32,cal4,179696095,linear,2.26E-07
L1,Metolachlor,cal,6.32,cal5,68064082.67,linear,7.26E-08
L1,Metolachlor,cal,6.32,cal6,6105080,linear,7.23E-09
L1,Nigericin_NH4,cal,9.79,cal1,3919976308,non-linear,3.47E-07
L1,Nigericin_NH4,cal,9.79,cal2,1156741961,non-linear,1.87E-07
L1,Nigericin_NH4,cal,9.79,cal3,697918982.3,non-linear,9.15E-08
L1,Nigericin_NH4,cal,9.79,cal4,204748936.3,non-linear,4.20E-08
